시트,분류1,분류2,한글명,태그,NSFW,비고
태그기본,장소,국가,대만,Taiwan,FALSE,
태그기본,장소,국가,태국,Thailand,FALSE,
태그기본,장소,국가,터키,Turkey,FALSE,
태그기본,장소,국가,우크라이나,Ukraine,FALSE,
태그기본,장소,국가,우르과이,Uruguay,FALSE,
태그기본,장소,국가,바티칸,Vatican,FALSE,
태그기본,장소,국가,베트남,Vietnam,FALSE,
태그기본,장소,시설,빌딩,building,FALSE,
태그기본,장소,시설,군사 벙커,bunker,FALSE,
태그기본,장소,시설,성,castle,FALSE,
태그기본,장소,시설,교회,church,FALSE,
태그기본,장소,시설,도시,city,FALSE,
태그기본,장소,시설,교실,classroom,FALSE,
태그기본,장소,시설,동아리실,clubroom,FALSE,
태그기본,장소,시설,법정,courtroom,FALSE,
태그기본,장소,시설,1인 사무실,cubicle_1_cubicle,FALSE,
태그기본,장소,시설,지하 감옥,dungeon,FALSE,
태그기본,장소,시설,이동하는 도시,floating_city,FALSE,
태그기본,장소,시설,정원,garden,FALSE,
태그기본,장소,시설,묘지,graveyard,FALSE,
태그기본,장소,시설,병원,hospital,FALSE,
태그기본,장소,시설,호텔,hotel,FALSE,
태그기본,장소,시설,호텔방,hotel_room,FALSE,
태그기본,장소,시설,병실,infirmary,FALSE,
태그기본,장소,시설,도서관,library,FALSE,
태그기본,장소,시설,러브 호텔,love hotel,FALSE,
태그기본,장소,시설,군사 기지,military_base,FALSE,
태그기본,장소,시설,건물 난간,minaret,FALSE,
태그기본,장소,시설,사원,mosque,FALSE,
태그기본,장소,시설,사무실,office,FALSE,
태그기본,장소,시설,공원,park,FALSE,
태그기본,장소,시설,전화 부스,phone_booth,FALSE,
태그기본,장소,시설,감옥,prison,FALSE,
태그기본,장소,시설,감방,prison_cell,FALSE,
태그기본,장소,시설,건물 옥상,rooftop,FALSE,
태그기본,장소,시설,유적,ruins,FALSE,
태그기본,장소,시설,시골,rural,FALSE,
태그기본,장소,시설,학교,school,FALSE,
태그기본,장소,시설,신사,shrine,FALSE,
태그기본,장소,시설,직원실,staff_room,FALSE,
태그기본,장소,시설,절,temple,FALSE,
태그기본,장소,시설,마을,village,FALSE,
태그기본,장소,운동,볼링장,bowling_alley,FALSE,
태그기본,장소,운동,헬스장,gym,FALSE,
태그기본,장소,운동,체육관창고,gym_storeroom,FALSE,
태그기본,장소,운동,라커룸,locker_room,FALSE,
태그기본,장소,운동,운동장,playground,FALSE,
태그기본,장소,운동,수영장,pool,FALSE,
태그기본,장소,운동,풀사이드,poolside,FALSE,
태그기본,장소,운동,육상경기장,running_track,FALSE,
태그기본,장소,운동,스케이트장,skating_rink,FALSE,
태그기본,장소,운동,축구장,soccer_field,FALSE,
태그기본,장소,운동,워터파크,waterpark,FALSE,
태그기본,장소,유흥,영화관,amphitheater,FALSE,
태그기본,장소,유흥,놀이공원,amusement_park,FALSE,
태그기본,장소,유흥,수족관,aquarium,FALSE,
태그기본,장소,유흥,게임장,arcade,FALSE,
태그기본,장소,유흥,투기장,arena,FALSE,
태그기본,장소,유흥,미술관,art_gallery,FALSE,
태그기본,장소,유흥,술집,bar,FALSE,
태그기본,장소,유흥,회전목마,carousel,FALSE,
태그기본,장소,유흥,이벤트 무대,convention,FALSE,
태그기본,장소,유흥,관람차,ferris_wheel,FALSE,
태그기본,장소,유흥,쇼핑센터,mall,FALSE,
태그기본,장소,유흥,영화관,movie_theater,FALSE,
태그기본,장소,유흥,박물관,museum,FALSE,
태그기본,장소,유흥,클럽,nightclub,FALSE,
태그기본,장소,유흥,온천,onsen,FALSE,
태그기본,장소,유흥,롤러코스터,roller_coaster,FALSE,
태그기본,장소,유흥,경기장,stadium,FALSE,
태그기본,장소,유흥,무대,stage,FALSE,
태그기본,장소,유흥,원형극장,theater,FALSE,
태그기본,장소,유흥,동물원,zoo,FALSE,
태그기본,장소,이동,비행장,airfield,FALSE,
태그기본,장소,이동,공항,airport,FALSE,
태그기본,장소,이동,골목,alley,FALSE,
태그기본,장소,이동,다리,bridge,FALSE,
태그기본,장소,이동,운하,canal,FALSE,
태그기본,장소,이동,컨트롤 타워,control_tower,FALSE,
태그기본,장소,이동,횡단보도,crosswalk,FALSE,
태그기본,장소,이동,차고,garage,FALSE,
태그기본,장소,이동,주유소,gas_station,FALSE,
태그기본,장소,이동,격납고,hangar,FALSE,
태그기본,장소,이동,항구,harbor,FALSE,
태그기본,장소,이동,고속도로,highway,FALSE,
태그기본,장소,이동,선착장,jetty,FALSE,
태그기본,장소,이동,주차장,parking_lot,FALSE,
태그기본,장소,이동,길,path,FALSE,
태그기본,장소,이동,교각,pier,FALSE,
태그기본,장소,이동,교차로,railroad_crossing,FALSE,
태그기본,장소,이동,철도 선로,railroad_tracks,FALSE,
태그기본,장소,이동,도로,road,FALSE,
태그기본,장소,이동,밧줄 다리,rope_bridge,FALSE,
태그기본,장소,이동,활주로,runway,FALSE,
태그기본,장소,이동,보도,sidewalk,FALSE,
태그기본,장소,이동,돌 산책로,stone_walkway,FALSE,
태그기본,장소,이동,거리,street,FALSE,
태그기본,장소,이동,기차역,train_station,FALSE,
태그기본,장소,이동,터널,tunnel,FALSE,
태그기본,장소,이동,나무 다리,wooden_bridge,FALSE,
태그기본,장소,자연,대나무숲,bamboo_forest,FALSE,
태그기본,장소,자연,해변,beach,FALSE,
태그기본,장소,자연,협곡,canyon,FALSE,
태그기본,장소,자연,동굴,cave,FALSE,
태그기본,장소,자연,낭떠러지,cliff,FALSE,
태그기본,장소,자연,사막,desert,FALSE,
태그기본,장소,자연,섬이 떠다니다,floating_island,FALSE,
태그기본,장소,자연,온천,geyser,FALSE,
태그기본,장소,자연,빙하,glacier,FALSE,
태그기본,장소,자연,언덕,hill,FALSE,
태그기본,장소,자연,섬,island,FALSE,
태그기본,장소,자연,밀림,jungle,FALSE,
태그기본,장소,자연,호수,lake,FALSE,
태그기본,장소,자연,목초지,meadow,FALSE,
태그기본,장소,자연,산,mountain,FALSE,
태그기본,장소,자연,자연,nature,FALSE,
태그기본,장소,자연,오아시스,oasis,FALSE,
태그기본,장소,자연,대양,ocean,FALSE,
태그기본,장소,자연,해저,ocean_bottom,FALSE,
태그기본,장소,자연,연못,pond,FALSE,
태그기본,장소,자연,강,river,FALSE,
태그기본,장소,자연,사바나,savannah,FALSE,
태그기본,장소,자연,해변가,shore,FALSE,
태그기본,장소,자연,개울,stream,FALSE,
태그기본,장소,자연,화산,volcano,FALSE,
태그기본,장소,자연,황무지,wasteland,FALSE,
태그기본,장소,자연,폭포,waterfall,FALSE,
태그기본,장소,현장,외양간,barn,FALSE,
태그기본,장소,현장,온실,conservatory,FALSE,
태그기본,장소,현장,건설현장,construction_site,FALSE,
태그기본,장소,현장,냉각탑,cooling_tower,FALSE,
태그기본,장소,현장,공장,factory,FALSE,
태그기본,장소,현장,밭,field,FALSE,
태그기본,장소,현장,꽃밭,flower_field,FALSE,
태그기본,장소,현장,(정원의) 정자,gazebo,FALSE,
태그기본,장소,현장,온실,greenhouse,FALSE,
태그기본,장소,현장,실험실,laboratory,FALSE,
태그기본,장소,현장,원자력 발전소,nuclear_powerplant,FALSE,
태그기본,장소,현장,발전소,powerplant,FALSE,
태그기본,장소,현장,정련소,refinery,FALSE,
태그기본,장소,현장,쌀밭,rice_paddy,FALSE,
태그기본,장소,현장,창고,warehouse,FALSE,
태그기본,장소,현장,밀밭,wheat_field,FALSE,
태그기본,장소,현장,작업장,workshop,FALSE,
태그기본,초점,강조,얼굴~허벅지에 집중한다,cowboy_shot,FALSE,
태그기본,초점,강조,얼굴을 강조한다,face,FALSE,
태그기본,초점,강조,얼굴~발목에 집중한다,feet_out_of_frame,FALSE,
태그기본,초점,강조,몸에 집중한다,fullbody,FALSE,
태그기본,초점,강조,하체에 집중한다,lower_body,FALSE,
태그기본,초점,강조,초상화,portrait,FALSE,
태그기본,초점,강조,상체에 집중한다,upper_body,FALSE,
태그기본,초점,강조,더 멀리서 몸에 집중한다,very_wide_shot,FALSE,
태그기본,초점,강조,멀리서 몸에 집중한다,wide_shot,FALSE,
태그기본,초점,시점,눈을 보고 있다,eye_contact,FALSE,
태그기본,초점,시점,먼 곳을 보고 있다,looking_afar,FALSE,
태그기본,초점,시점,다른 사람을 보고 있다,looking_at_another,FALSE,
태그기본,초점,시점,엉덩이를 보고 있다,looking_at_ass,FALSE,
태그기본,초점,시점,가슴을 보고 있다,looking_at_breasts,FALSE,
태그기본,초점,시점,손을 보고 있다,looking_at_hand,FALSE,
태그기본,초점,시점,거울을 보고 있다,looking_at_mirror,FALSE,
태그기본,초점,시점,휴대전화를 보고 있다,looking_at_phone,FALSE,
태그기본,초점,시점,뷰어를 보고 있다,looking_at_viewer,FALSE,
태그기본,초점,시점,옆을 보고 있다,looking_away,FALSE,
태그기본,초점,시점,뒤를 보고 있다,looking_back,FALSE,
태그기본,초점,시점,아래를 보고 있다,looking_down,FALSE,
태그기본,초점,시점,앞을 보고 있다,looking_front,FALSE,
태그기본,초점,시점,밖을 보고 있다,looking_outside,FALSE,
태그기본,초점,시점,안경 밖을 보고 있다,looking_over_eyewear,FALSE,
태그기본,초점,시점,다리를 보고 있다,looking_through_legs,FALSE,
태그기본,초점,시점,측면을 보고 있다,looking_to_the_side,FALSE,
태그기본,초점,시점,위를 보고 있다,looking_up,FALSE,
태그기본,초점,집중,겨드랑이에 집중한다,armpit_focus,FALSE,
태그기본,초점,집중,엉덩이에 집중한다,ass_focus,FALSE,
태그기본,초점,집중,뒤에 집중한다,back_focus,FALSE,
태그기본,초점,집중,가슴에 집중한다,breast_focus,FALSE,
태그기본,초점,집중,눈에 집중한다,eye_focus,FALSE,
태그기본,초점,집중,발에 집중한다,foot_focus,FALSE,
태그기본,초점,집중,앞에 집중한다,front_focus,FALSE,
태그기본,초점,집중,여자에게 집중한다,girl_focus,FALSE,
태그기본,초점,집중,손에 집중한다,hand_focus,FALSE,
태그기본,초점,집중,엉덩이에 집중한다,hip_focus,FALSE,
태그기본,초점,집중,남자에게 집중한다,male_focus,FALSE,
태그기본,초점,집중,배꼽에 집중한다,navel_focus,FALSE,
태그기본,초점,집중,밖에 집중한다,other_focus,FALSE,
태그기본,초점,집중,가슴에 집중한다,pectoral_focus,FALSE,
태그기본,초점,집중,단독 집중,solo_focus,FALSE,
태그기본,초점,집중,허벅지에 집중한다,thigh_focus,FALSE,
태그기본,테마,도구,아크릴 물감,acrylic_paint,FALSE,
태그기본,테마,도구,에어브러시,airbrush,FALSE,
태그기본,테마,도구,볼펜,ballpoint_pen,FALSE,
태그기본,테마,도구,브러시,brush,FALSE,
태그기본,테마,도구,서예 붓,calligraphy_brush,FALSE,
태그기본,테마,도구,캔버스,canvas,FALSE,
태그기본,테마,도구,분필,chalk,FALSE,
태그기본,테마,도구,숯,charcoal,FALSE,
태그기본,테마,도구,색 잉크,color_ink,FALSE,
태그기본,테마,도구,색연필,colored_pencil,FALSE,
태그기본,테마,도구,플라스틱 연필,coupy_pencil,FALSE,
태그기본,테마,도구,크레용,crayon,FALSE,
태그기본,테마,도구,구아슈,gouache,FALSE,
태그기본,테마,도구,흑연,graphite,FALSE,
태그기본,테마,도구,잉크,ink,FALSE,
태그기본,테마,도구,마커,marker,FALSE,
태그기본,테마,도구,밀리펜,millipen,FALSE,
태그기본,테마,도구,펜촉,nib_pen,FALSE,
태그기본,테마,도구,유화,oil_painting,FALSE,
태그기본,테마,도구,회화,painting,FALSE,
태그기본,테마,도구,파스텔,pastel,FALSE,
태그기본,테마,도구,수채화,watercolor,FALSE,
태그기본,테마,도구,수채화 연필,watercolor_pencil,FALSE,
태그기본,테마,미술,바로크,Baroque,FALSE,
태그기본,테마,미술,르네상스,Renaissance,FALSE,
태그기본,테마,미술,로코코,Rococo,FALSE,
태그기본,테마,미술,낭만주의,Romanticism,FALSE,
태그기본,테마,미술,아르데코,art_deco,FALSE,
태그기본,테마,미술,아르누보,art_nouveau,FALSE,
태그기본,테마,미술,콘트라포스토,contrapposto,FALSE,
태그기본,테마,미술,화염주의,flame_painter,FALSE,
태그기본,테마,미술,인상주의,impressionism,FALSE,
태그기본,테마,미술,미니멀리즘,minimalism,FALSE,
태그기본,테마,미술,일본화,nihonga,FALSE,
태그기본,테마,미술,일본 페인팅,sumi-e,FALSE,
태그기본,테마,미술,초현실주의,surreal,FALSE,
태그기본,테마,미술,우키요에,ukiyo-e,FALSE,
태그기본,테마,신화,아즈텍 신화,Aztec_mythology,FALSE,
태그기본,테마,신화,켈트 신화,Celtic_mythology,FALSE,
태그기본,테마,신화,중국 신화,Chinese_mythology,FALSE,
태그기본,테마,신화,이집트 신화,Egyptian_mythology,FALSE,
태그기본,테마,신화,그리스 신화,Greek_mythology,FALSE,
태그기본,테마,신화,인도 신화,Indian_mythology,FALSE,
태그기본,테마,신화,일본 신화,Japanese_mythology,FALSE,
태그기본,테마,신화,북유럽 신화,Nordic_mythology,FALSE,
태그기본,테마,신화,슬라브 신화,Slavic_mythology,FALSE,
태그기본,테마,신화,수메르 신화,Sumerian_mythology,FALSE,
태그기본,테마,연도,00년대,00s-anime-aesthetic,FALSE,
태그기본,테마,연도,10년대,10s-anime-aesthetic,FALSE,
태그기본,테마,연도,20년대,20s-anime-aesthetic,FALSE,
태그기본,테마,연도,30년대,30s-anime-aesthetic,FALSE,
태그기본,테마,연도,40년대,40s-anime-aesthetic,FALSE,
태그기본,테마,연도,50년대,50s-anime-aesthetic,FALSE,
태그기본,테마,연도,60년대,60s-anime-aesthetic,FALSE,
태그기본,테마,연도,70년대,70s-anime-aesthetic,FALSE,
태그기본,테마,연도,80년대,80s-anime-aesthetic,FALSE,
태그기본,테마,연도,90년대,90s-anime-aesthetic,FALSE,
태그기본,테마,음악,애니메이션 음악,Animated_music,FALSE,
태그기본,테마,음악,발라드,Ballad,FALSE,
태그기본,테마,음악,블루스,Blues,FALSE,
태그기본,테마,음악,시티 팝,City_Pop,FALSE,
태그기본,테마,음악,클래식,Classic,FALSE,
태그기본,테마,음악,댄스,Dance,FALSE,
태그기본,테마,음악,디스코,Disco,FALSE,
태그기본,테마,음악,일렉트로니카,Electronica,FALSE,
태그기본,테마,음악,엔카,Enka,FALSE,
태그기본,테마,음악,유로비트,Eurobeat,FALSE,
태그기본,테마,음악,포크,Fork,FALSE,
태그기본,테마,음악,펑크,Funk,FALSE,
태그기본,테마,음악,게임 음악,Game_music,FALSE,
태그기본,테마,음악,가스펠,Gaspel,FALSE,
태그기본,테마,음악,재즈,Jazz,FALSE,
태그기본,테마,음악,뉴에이지 음악,New_Age_music,FALSE,
태그기본,테마,음악,뉴뮤직,New_Music,FALSE,
태그기본,테마,음악,팝,Pop,FALSE,
태그기본,테마,음악,레게,Reggae,FALSE,
태그기본,테마,음악,록,Rock,FALSE,
태그기본,테마,음악,로큰롤,Rock_and_roll,FALSE,
태그기본,테마,음악,트로트,Teuroteu,FALSE,
태그기본,테마,음악,전자 음악,electronic_music,FALSE,
태그기본,테마,음악,소울 음악,soulfulmusic,FALSE,
태그기본,테마,장르,아케인펑크,Arcanepunk,FALSE,
태그기본,테마,장르,사이버펑크,Cyberpunk,FALSE,
태그기본,테마,장르,다크 판타지,Dark_Fantasy,FALSE,
태그기본,테마,장르,디젤펑크,Dieselpunk,FALSE,
태그기본,테마,장르,판타지,Fantasy,FALSE,
태그기본,테마,장르,고딕 판타지,Gothic_Fantasy,FALSE,
태그기본,테마,장르,로맨스 판타지,Romance_Fantasy,FALSE,
태그기본,테마,장르,스팀펑크,Steampunk,FALSE,
태그기본,테마,장르,어반 판타지,Urban_Fantasy,FALSE,
태그기본,테마,포르노,AV,Adult_Video,TRUE,
